country,urbanPopulation,gdpPerCapita
Argentina,92.1,8693
Antigua and Barbuda,24.4,12870
The Bahamas,83.2,23971
Belize,46.0,3583
Bolivia,70.1,2345
Brazil,87.1,10672
Barbados,31.2,13249
Canada,81.6,48617
Chile,87.7,14050
Colombia,81.4,7228
Costa Rica,80.8,9620
Dominica,71.1,5741
Dominican Republic,82.5,7390
Ecuador,64.2,4628
Grenada,36.5,8153
Guatemala,51.8,3264
Guyana,26.8,8741
Honduras,58.3,2011
Haiti,57.1,1188
St. Kitts and Nevis,30.8,15215
St. Lucia,18.8,7427
Mexico,80.7,9322
Nicaragua,59.0,1722
Panama,68.4,9611
Peru,78.3,5685
Puerto Rico,93.6,26822
Paraguay,62.2,5163
El Salvador,73.4,3280
Suriname,66.1,7068
Trinidad and Tobago,53.2,13708
Uruguay,95.5,13431
United States,82.7,53749
St. Vincent and the Grenadines,53.0,6654
